Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Label,Scaffold,Structure
2.6537669,0.7475936,-0.95446134,-0.2562298,-0.5016157,-0.29978332,0.9380343,-0.36261186,-1.3200825,-0.6837342,0.6257409,1.581316,-0.71375316,0.98903006,0.7574765,-0.43235835,1.8103502,-0.47603053,-1.0811497,0.38451096,-0.23411086,-0.65726906,0.06936811,-0.16115597,0.11535254,0.6645879,-0.3579225,-1.3934317,0.70387846,-0.8926319,0.91232395,-2.1749978,l0,c1ccccc1,CCOc1cc(C(=O)NCC(=O)OC)cc(OCC)c1OCC
0.5469929,0.7009219,-1.6695765,-0.06336173,0.7671383,0.13752031,-0.08919708,-0.20573097,-0.75585246,-0.7091142,-0.13570905,2.9210916,0.18375406,0.33888015,0.37378016,0.30596846,1.060911,-1.0922922,-0.4382891,0.042288955,-0.5631313,-0.71096945,1.0983545,0.32261726,-0.036644336,0.34655252,-0.25605115,-1.4998583,0.82173926,-1.021993,1.7242268,-2.44497,l0,c1ccccc1,CCOC(=O)C(F)=Cc1cccc(C#N)c1
1.2643548,1.0733359,-0.67733216,0.94336855,0.2891145,-0.038802344,-0.15092835,1.1678225,-1.2196459,-0.04157706,-1.4431276,1.9192492,0.15602939,-0.2954275,0.06681093,0.08639305,0.89339143,-0.23992147,-0.5943264,0.0776533,-0.20091988,-1.4554663,0.69227415,-0.8705915,0.17903143,0.05367659,-0.7467857,-1.6429653,0.4501702,-0.83928156,2.7613862,-1.6169633,l0,c1ccccc1,CCCCN(CCCC)CC(=O)c1ccc(I)cc1
-0.111649774,0.8025684,-1.5566057,0.64005935,0.9044709,0.23406412,-0.51590985,-0.15363944,-0.511808,-0.21374324,-1.2072799,3.0646274,0.116345294,-0.15438746,-0.2864067,0.1373092,1.124725,-1.0364683,-0.06599873,0.17291655,-0.33260757,-1.4529984,0.8700827,0.43520445,0.094325475,0.13225769,-0.521864,-1.5607293,1.0676363,-0.8845291,2.0519533,-1.2819195,l0,c1ccccc1,CCNC(=O)c1cccc(Br)c1
0.49774656,0.94101685,-0.74513805,0.52853966,0.19547701,-0.024326641,0.81175935,0.2292468,-0.92010874,-0.10467501,-0.9386562,2.473888,-0.14935714,0.87281984,-0.114251435,-0.3394866,1.890039,-0.21626025,-0.08671217,0.0065048086,-0.019479875,-1.8172268,0.2593509,-0.18053034,0.45349103,-0.23721878,-0.9918681,-1.2650311,0.21699907,-1.1761879,2.1199694,-2.1703365,l0,c1ccccc1,CCOC(=O)C(=NC(C)CC)NNc1ccc(Br)cc1
1.0043265,0.5451876,-1.0703572,0.31828418,0.5735098,0.30307093,0.46568903,-0.17059952,-0.73881656,-0.48942173,-1.1730638,1.1506963,0.30633727,0.84771365,0.08626879,0.83884144,2.5301487,-0.33719113,-0.28381625,0.017265419,-0.40997034,-1.7957319,0.90197253,-0.62614554,-0.3931146,0.20970891,-0.8227585,-0.7278452,-0.018396603,-0.5524167,2.0732794,-2.5626583,l0,c1ccccc1,CCOP(=O)(OCC)C(NC(=O)C=Cc1ccccc1)C(Cl)(Cl)Cl
0.7133544,1.0728694,-0.8459507,0.47509274,0.7057365,-0.33891705,-0.0191529,0.7242694,-1.3120354,0.055654157,-0.4995403,2.733696,-0.53201413,-0.14673242,0.19101141,0.10504995,1.4218417,-0.42367297,-0.9793039,-0.52080154,-0.23869467,-1.5742728,0.4627311,0.21154413,0.15753824,0.31068146,-0.27347043,-1.7049313,0.564449,-0.59289783,2.1048827,-2.008012,l0,c1ccccc1,CCC(C)NC(=O)CCCOc1cccc(C)c1
0.84800917,0.8467068,-0.794285,0.39166117,0.62559575,-0.7670055,0.16591805,0.37172192,-0.9078438,-0.64802015,-0.42918977,1.6047171,-0.38166794,1.2216444,0.13296118,-0.123544484,2.5131855,0.0923309,-1.2750878,0.31553167,-0.4356166,-1.4125572,-0.0936162,-0.4914485,-0.11082012,0.060261462,-0.5502642,0.48490113,0.26448262,-0.7400123,1.9558285,-2.7344782,l0,c1ccccc1,COC(=O)C(Cc1ccccc1)NS(=O)(=O)CCNC(C)=O
-0.45535704,1.4179122,-1.478835,0.46261254,0.92973226,-0.25756264,0.3265431,0.04259146,-0.65001017,-0.017679764,-1.3865489,2.3610609,-0.46565998,0.32428646,0.26097777,-0.005419918,1.234057,-0.6006881,-0.67396265,-0.26107818,-0.5344751,-2.317385,0.07486527,-0.08846403,0.32525653,0.060447223,-0.29222664,1.2774129,0.4043822,0.017469337,1.9785037,-2.012758,l0,c1ccccc1,CCS(=O)(=O)Nc1cccc(C)c1C
-0.8685235,0.46264493,-2.268656,0.33742973,0.6577661,-0.8149116,0.23221076,0.08407978,-0.4656522,-0.8468071,-1.0385734,1.5418178,-0.15444723,1.0004617,0.38282555,-0.014000868,2.3400514,-0.812665,0.39403182,0.512286,0.65230566,-1.9404302,0.5492338,-0.019314364,0.77494395,0.36873206,-0.7882291,-0.3668872,0.76823986,-0.8027705,1.6943177,-1.551511,l0,c1ccccc1,N=C(N)c1ccc([N+](=O)[O-])cc1O
-0.27674267,0.55470717,-1.5317676,0.07367431,0.09835751,-0.34657514,0.10604196,-0.21345639,-0.38977602,-0.8036974,-0.8340746,1.4946854,1.4274614,0.18852977,0.3472373,0.19475576,2.6477947,-1.256364,0.56212634,1.0992869,0.3918909,-1.325165,0.2439515,-0.19516125,-0.016311051,-0.12325153,-0.9884167,-0.28978777,0.9164257,-0.59059644,1.4236357,-2.589421,l0,c1ccccc1,NC(=NOC(=O)C(F)(F)F)c1cccc([N+](=O)[O-])c1
1.9121765,0.77763885,-0.48494178,0.702015,0.23954278,-0.27653205,-0.121543586,0.7700775,-1.3481909,-0.106080025,-0.20580298,1.22337,-0.13294974,0.13536918,0.37251422,-0.2772073,2.0070643,0.09143394,-1.350727,0.19650964,0.039642897,-1.9914906,0.11784069,-0.8374967,-0.48948455,0.43051946,-0.9229097,0.36799386,0.08214689,-0.6764097,2.1319017,-2.3759904,l0,c1ccccc1,CCCCCCCC(=O)N(CCOC)Cc1cccc(OS(C)(=O)=O)c1
-0.35046172,0.049168095,-2.0824966,0.20185661,0.8608109,0.6397881,-0.7373386,0.61937714,-0.57078934,-1.6751329,-0.99127096,1.9028581,0.30067307,1.5527942,0.70819765,0.527586,0.5033608,-1.5303608,-0.3525737,1.4904118,-0.31435516,-1.950274,0.608709,0.009697289,-0.24085632,0.7460834,0.32115224,-1.272497,1.0052762,0.31206346,0.77652067,-1.067977,l0,c1ccccc1,Oc1cc(F)c(F)cc1O
-0.15684569,1.1304404,-1.08526,-0.034225516,0.2768929,-0.17574167,0.27219588,0.3532442,-0.6707977,0.034180563,-1.0210785,3.0444999,-0.5306896,-0.5008942,0.5745294,-0.030035194,0.37965065,-0.88232315,-0.80723673,-0.6071143,-0.6709227,-1.3968801,0.43653664,0.19296074,0.49281713,0.17183854,0.06921919,-1.3969748,1.0438144,-0.031516165,2.8280923,-1.3023796,l0,c1ccccc1,C=CC(=O)Cc1c(C)ccc(C)c1C
-0.44133455,0.83909917,-0.88914,0.31178683,-0.43599474,0.36553055,0.26499748,-0.024963751,-1.001225,-0.9840785,-1.5821863,2.15805,-0.4371023,1.8462183,0.19457123,0.3586119,1.7202281,-1.115832,-0.40527272,0.924703,-0.51483047,-1.2251903,0.58720714,-0.23052076,0.31697622,0.027287677,-0.522707,-1.3602204,0.7792091,-0.48981097,2.2143233,-1.2483885,l0,c1ccccc1,CN(C)Cc1cc(Br)c(C(=O)O)c(Br)c1O
1.7716213,0.40019542,-0.18957579,-0.93328786,-1.1003526,-0.2177775,0.4452109,-0.28074336,-1.5699717,-0.7164627,1.052514,1.6284802,0.37574744,1.0991305,0.3798253,-0.25079334,1.8842508,-0.8623944,-1.0604951,-0.20997308,-0.47159725,0.91429114,0.43740258,-0.17344518,-0.40923667,0.4479511,-0.4516603,-1.5190234,0.031226743,0.1084992,1.7417257,-2.301282,l0,c1ccccc1,CC(=O)OCC(C)=CCCC(=CCc1cc(OC(C)=O)ccc1OC(C)=O)COC(C)=O
